,anneal_temp_unit,anneal_temperature,anneal_time,anneal_time_unit,contributor_key,cool_method,detector,label,magnification,micrograph_id,micron_bar,micron_bar_px,micron_bar_units,path,primary_microconstituent,sample_id,sample_key
0,,,,,2,,SE,ET Gyro,4910x,1,5.0,129,um,micrograph1.tif,pearlite,42.0,42.0
1,C,800.0,85.0,H,2,Q,SE,AC1 800C 85H Q,1964X,2,10.0,103,um,micrograph2.tif,spheroidite,18.0,18.0
2,,,,,2,,SE,SIS_XL.TIF,65x,3,200.0,69,um,micrograph3.tif,quality,47.0,47.0
3,C,970.0,90.0,M,2,FC,SE,AC1 970C 90M FC,,4,10.0,129,um,micrograph4.tif,pearlite+spheroidite,35.0,35.0
4,C,750.0,5.0,M,2,Q,SE,AC1 750C 5M Q,4910X,5,5.0,129,um,micrograph5.tif,pearlite,10.0,10.0
5,C,970.0,90.0,M,2,AR,SE,AC1 970C 90M AR,1178X,6,20.0,124,um,micrograph6.tif,spheroidite,29.0,29.0
6,C,970.0,90.0,M,2,Q,SE,AC1 970C 90M Q,982x,7,20.0,103,um,micrograph7.tif,spheroidite+widmanstatten,40.0,40.0
7,C,970.0,90.0,M,2,FC,SE,AC1 970C 90M 65C 4H FC,,8,100.0,103,um,micrograph8.tif,network,31.0,31.0
8,C,970.0,90.0,M,2,FC,SE,AC1 970C 90M 65C 4H FC,98x,9,200.0,103,um,micrograph9.tif,network,31.0,31.0
9,C,970.0,8.0,H,2,Q,SE,AC1 970C 8H Q,1964X,10,10.0,103,um,micrograph10.png,spheroidite,39.0,39.0
10,C,800.0,85.0,H,2,Q,SE,AC1 800C 85H Q,1964X,11,10.0,103,um,micrograph11.tif,spheroidite,18.0,18.0
11,,,,,2,,SE,,982x,12,20.0,103,um,micrograph12.tif,pearlite+spheroidite,,
12,C,800.0,5.0,M,2,Q,SE,AC1 800C 5M Q,98x,13,200.0,103,um,micrograph13.tif,network,8.0,8.0
13,,,,,2,,SE,AC1 IS1010H 35X etched,98X,14,200.0,103,um,micrograph14.tif,network,41.0,41.0
14,,,,,2,,SE,,786x,15,20.0,83,um,micrograph15.tif,pearlite+spheroidite,,
15,C,970.0,24.0,H,2,Q,SE,AC1 970C 24H Q,4910x,16,5.0,129,um,micrograph16.tif,,24.0,24.0
16,,,,,2,,SE,IN3 Unetched,35x,17,500.0,93,um,micrograph17.tif,quality,45.0,45.0
17,C,970.0,8.0,H,2,Q,SE,AC1 970C 8H Q,98X,18,200.0,103,um,micrograph18.png,network,39.0,39.0
18,C,800.0,3.0,H,2,Q,SE,AC1 800C 3H Q,982x,19,20.0,103,um,micrograph19.tif,crack,14.0,14.0
19,,,,,2,,SE,AC1 IS1010H 35X etched,1964X,20,10.0,103,um,micrograph20.tif,martensite,41.0,41.0
20,,,,,2,,SE,AC1 + vickers mark,98x,21,200.0,103,um,micrograph21.tif,network,3.0,3.0
21,C,970.0,24.0,H,2,Q,SE,AC1 970C 24H Q,982x,22,20.0,103,um,micrograph22.tif,,36.0,36.0
22,,,,,2,,SE,IN1 Etched Sample,9820X,23,2.0,103,um,micrograph23.jpg,figure,44.0,44.0
23,C,970.0,90.0,M,2,Q,SE,AC1 970C 90M Q,98x,24,200.0,103,um,micrograph24.tif,network,33.0,33.0
24,,,,,2,,SE,,3437x,25,5.0,90,um,micrograph25.tif,hole,,
25,C,1000.0,5.0,M,2,Q,SE,AC1 1000C 5M Q,1964X,26,10.0,103,um,micrograph26.tif,spheroidite+widmanstatten,4.0,4.0
26,,,,,2,,BSE,,491x,27,50.0,129,um,micrograph27.tif,,,
27,,,,,2,,SE,,49X,28,500.0,129,um,micrograph28.tif,network,,
28,C,970.0,90.0,M,2,FC,SE,AC1 970C 90M FC,1473X,29,20.0,154,um,micrograph29.tif,spheroidite,35.0,35.0
29,C,900.0,24.0,H,2,Q,SE,AC1 900C 24H Q,982x,30,20.0,103,um,micrograph30.tif,spheroidite,20.0,20.0
30,,,,,2,,SE,,49X,31,500.0,129,um,micrograph31.tif,network,,
31,C,970.0,24.0,H,2,Q,SE,AC1 970C 24H Q,982x,32,20.0,103,um,micrograph32.tif,spheroidite,25.0,25.0
32,,,,,2,,SE,,,33,500.0,129,um,micrograph33.tif,network,,
33,,,,,2,,SE,IN1 Etched Sample,491x,34,50.0,129,um,micrograph34.tif,,44.0,44.0
34,C,970.0,5.0,M,2,FC,SE,AC1 970 5M FC,98x,35,200.0,103,um,micrograph35.tif,network,34.0,34.0
35,,,,,2,,SE,ET Gyro,98x,36,200.0,103,um,micrograph36.tif,network,42.0,42.0
36,C,970.0,5.0,M,2,Q,SE,AC1 970C 5M Q,982x,37,20.0,103,um,micrograph37.tif,spheroidite+widmanstatten,38.0,38.0
37,,,,,2,,BSE,SIS_XL.TIF,491x,38,50.0,129,um,micrograph38.bmp,indent,47.0,47.0
38,C,970.0,5.0,M,2,FC,SE,AC1 970 5M FC,982x,39,20.0,103,um,micrograph39.tif,spheroidite,34.0,34.0
39,C,970.0,90.0,M,2,FC,SE,AC1 970C 90M 65C 4H FC,98X,40,200.0,103,um,micrograph40.tif,sample,31.0,31.0
40,,,,,2,,BSE,AC1 IS1010H 35X etched,98x,41,200.0,103,um,micrograph41.tif,martensite,41.0,41.0
41,C,800.0,3.0,H,2,Q,BSE,AC1 800C 3H Q,98X,42,200.0,103,um,micrograph42.tif,network,7.0,7.0
42,,,,,2,,SE,IN1 Etched Sample,9820X,43,2.0,103,um,micrograph43.jpg,figure,44.0,44.0
43,,,,,2,,SE,SIS_XL.TIF,491x,44,50.0,129,um,micrograph44.tif,martensite,47.0,47.0
44,,,,,2,,,ET Gyro,,45,200.0,103,um,micrograph45.tif,figure,42.0,42.0
45,,,,,2,,SE,,,46,500.0,129,um,micrograph46.tif,network,,
46,,,,,2,,SE,,49X,47,500.0,129,um,micrograph47.tif,network,,
47,C,800.0,90.0,M,2,Q,SE,AC1 800C 900C 970C 90M Q,1964X,48,10.0,103,um,micrograph48.tif,spheroidite,11.0,11.0
48,C,970.0,24.0,H,2,Q,SE,AC1 970C 24H Q,982x,49,20.0,103,um,micrograph49.tif,spheroidite,36.0,36.0
49,,,,,2,,SE,SIS_XL.TIF,9820X,50,2.0,103,um,micrograph50.tif,quality,47.0,47.0
50,,,,,2,,SE,SIS_XL.TIF,98X,51,200.0,103,um,micrograph51.tif,network,47.0,47.0
51,,,,,2,,SE,,,52,10.0,129,um,micrograph52.tif,pearlite,,
52,C,970.0,90.0,M,2,Q,SE,AC1 970C 90M Q,1964X,53,10.0,103,um,micrograph53.tif,spheroidite,32.0,32.0
53,C,970.0,24.0,H,2,Q,SE,AC1 970C 24H Q,982x,54,20.0,103,um,micrograph54.tif,,24.0,24.0
54,,,,,2,,SE,SIS_XL.TIF,638x,55,20.0,67,um,micrograph55.jpg,sample,47.0,47.0
55,,,,,2,,BSE,,4910x,56,5.0,129,um,micrograph56.tif,,,
56,,,,,2,,BSE,,4910X,57,5.0,129,um,micrograph57.tif,crack,,
57,C,900.0,90.0,M,2,Q,SE,AC1 900C 90M Q,982x,58,20.0,103,um,micrograph58.tif,spheroidite+widmanstatten,23.0,23.0
58,C,700.0,5.0,M,2,Q,SE,AC1 700C 5M Q,11785x,59,2.0,124,um,micrograph59.tif,pearlite,9.0,9.0
59,C,970.0,90.0,M,2,FC,SE,AC1 970C 90M FC,98X,60,200.0,103,um,micrograph60.tif,network,35.0,35.0
60,,,,,2,,SE,AC1 + vickers mark,246x,61,100.0,129,um,micrograph61.tif,indent,3.0,3.0
61,,,,,2,,SE,,4910x,62,5.0,129,um,micrograph62.tif,pearlite+spheroidite,,
62,,,,,2,,BSE,SIS_XL.TIF,6383x,63,2.0,67,um,micrograph63.tif,,47.0,47.0
63,,,,,2,,SE,,982x,64,20.0,103,um,micrograph64.tif,,,
64,C,800.0,90.0,M,2,Q,SE,AC1 800C 90M Q,98x,65,200.0,103,um,micrograph65.tif,network,12.0,12.0
65,,,,,2,,BSE,,,66,500.0,129,um,micrograph66.tif,quality,,
66,C,800.0,8.0,H,2,Q,SE,AC 800C 8H Q,4910X,67,5.0,129,um,micrograph67.tif,spheroidite,2.0,2.0
67,C,800.0,3.0,H,2,Q,SE,AC1 800C 3H Q,4910X,68,5.0,129,um,micrograph68.tif,spheroidite,7.0,7.0
68,C,970.0,90.0,M,2,FC,SE,AC1 970C 90M FC,982x,69,20.0,103,um,micrograph69.tif,spheroidite,35.0,35.0
69,C,800.0,3.0,H,2,Q,BSE,AC1 800C 3H Q,98x,70,200.0,103,um,micrograph70.tif,network,7.0,7.0
70,,,,,2,,SE,IN1 Etched Sample,982x,71,20.0,103,um,micrograph71.tif,pearlite+spheroidite,44.0,44.0
71,C,970.0,3.0,H,2,Q,SE,AC1 970C 3H Q,98X,72,200.0,103,um,micrograph72.tif,network,37.0,37.0
72,,,,,2,,SE,SIS_XL.TIF,4910X,73,5.0,129,um,micrograph73.tif,,47.0,47.0
73,,,,,2,,SE,IN1 Etched Sample,11785x,74,2.0,124,um,micrograph74.tif,pearlite,44.0,44.0
74,C,970.0,3.0,H,2,Q,SE,AC1 970C 3H Q,982x,75,20.0,103,um,micrograph75.tif,spheroidite,37.0,37.0
75,C,800.0,24.0,H,2,Q,SE,AC1 800C 24H Q,1964X,76,10.0,103,um,micrograph76.tif,spheroidite,6.0,6.0
76,C,970.0,90.0,M,2,FC,SE,AC1 970C 90M 65C 4H FC,1178X,77,20.0,124,um,micrograph77.tif,sample,31.0,31.0
77,C,900.0,5.0,M,2,Q,SE,AC1 900C 5M Q,982x,78,20.0,103,um,micrograph78.tif,,22.0,22.0
